City,Date,PM2.5,PM10,NO,NO2,NOx,NH3,CO,SO2,O3,Benzene,Toluene,Xylene,AQI,AQI_Bucket,Year,Month,Season,PM2.5_SI,PM10_SI,NO2_SI,SO2_SI,CO_SI,O3_SI,HRI,HRI_Category
Ahmedabad,2015-01-01,58.37,107.96,0.92,18.22,17.15,,0.92,27.64,133.36,0.0,0.02,0.0,384.5,,2015,1,Winter,289.1333333333333,139.9111111111111,36.44,34.550000000000004,0.0115,66.68,146.59,Unhealthy
Ahmedabad,2015-01-02,58.37,107.96,0.97,15.69,16.46,,0.97,24.55,34.06,3.68,5.5,3.77,384.5,,2015,1,Winter,289.1333333333333,139.9111111111111,31.379999999999995,30.6875,0.012124999999999999,17.03,140.23,Unhealthy
Ahmedabad,2015-01-03,58.37,107.96,17.4,19.3,29.7,,17.4,29.07,30.7,6.8,16.4,2.25,384.5,,2015,1,Winter,289.1333333333333,139.9111111111111,38.6,36.3375,0.21749999999999997,15.35,142.08,Unhealthy
Ahmedabad,2015-01-04,58.37,107.96,1.7,18.48,17.97,,1.7,18.59,36.08,4.43,10.14,1.0,384.5,,2015,1,Winter,289.1333333333333,139.9111111111111,36.96,23.2375,0.021249999999999998,18.04,140.7,Unhealthy
Ahmedabad,2015-01-05,58.37,107.96,22.1,21.42,37.76,,22.1,39.33,39.31,7.01,18.89,2.78,384.5,,2015,1,Winter,289.1333333333333,139.9111111111111,42.84,49.162499999999994,0.27625,19.655,144.64,Unhealthy
Ahmedabad,2015-01-06,58.37,107.96,45.41,38.48,81.5,,45.41,45.76,46.51,5.42,10.83,1.93,384.5,,2015,1,Winter,289.1333333333333,139.9111111111111,76.96,57.199999999999996,0.5676249999999999,23.255,152.64,Unhealthy
Ahmedabad,2015-01-07,58.37,107.96,112.16,40.62,130.77,,112.16,32.28,33.47,0.0,0.0,0.0,384.5,,2015,1,Winter,289.1333333333333,139.9111111111111,81.24,40.35,1.402,16.735,151.21,Unhealthy
Ahmedabad,2015-01-08,58.37,107.96,80.87,36.74,96.75,,80.87,38.54,31.89,0.0,0.0,0.0,384.5,,2015,1,Winter,289.1333333333333,139.9111111111111,73.48,48.175000000000004,1.0108750000000002,15.945,150.34,Unhealthy
Ahmedabad,2015-01-09,58.37,107.96,29.16,31.0,48.0,,29.16,58.68,25.75,0.0,0.0,0.0,384.5,,2015,1,Winter,289.1333333333333,139.9111111111111,62.0,73.35000000000001,0.3645,12.875,150.22,Unhealthy
Ahmedabad,2015-01-10,58.37,107.96,,7.04,0.0,,16.244999999999997,8.29,4.55,0.0,0.0,0.0,384.5,,2015,1,Winter,289.1333333333333,139.9111111111111,14.08,10.362499999999999,0.20306249999999998,2.275,133.27,Unhealthy
